"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","19","3.658","57.9","31.6",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","103
002","22","3.429","50.0","9.1","18.2","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","003
103","23","3.304","39.1","21.7","26.1","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","103
005","20","3.675","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","103
006","18","3.611","66.7","11.1","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","102","3.525","53.9","18.6","13.7","6.9","4.9",".","1.0","1.0",".",".",".",".",".",".",".","."
"","203
001","17","3.147","35.3","23.5","23.5","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","203
002","23","3.543","56.5","17.4","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","40","3.375","47.5","20.0","20.0","5.0",".","5.0","2.5",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","18","3.618","55.6","16.7","16.7",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Roman Lyric Poetry","522
001","11","3.650","63.6","9.1",".","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Latin Oratory","559
001","10","3.667","70.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","10.0",".","."
"","890
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","196","3.522","53.6","17.3","13.3","5.6","3.6","1.0","1.0","1.5","0.5",".",".","1.0","1.0","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.617","53.8","25.0","13.5","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","50","3.537","60.0","12.0","10.0","8.0","4.0",".","2.0","2.0",".",".",".",".","2.0",".",".","."
"Junior","","29","3.647","58.6","20.7","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","37","3.117","40.5","13.5","21.6","5.4","10.8","5.4","2.7",".",".",".",".",".",".",".",".","."
"Undergraduates","","168","3.494","53.6","17.9","14.3","6.5","4.2","1.2","1.2","0.6",".",".",".",".","0.6",".",".","."
"Special","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","26","3.836","53.8","15.4","3.8",".",".",".",".","7.7","3.8",".",".","7.7","3.8","3.8",".","."
"","Dept. Total","196","3.522","53.6","17.3","13.3","5.6","3.6","1.0","1.0","1.5","0.5",".",".","1.0","1.0","0.5",".","."
