"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Regional Econ Prob Analysis","734
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Education","795
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Affr Prof Devlpmnt Workshp","800
001","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","16","3.533","31.3","37.5","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","49","3.302","34.7","24.5","14.3","14.3","10.2",".",".",".",".",".",".",".","2.0",".",".","."
"Administrative Internship","827
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","22","3.477","36.4","22.7","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","32","3.641","31.3","65.6","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","19","3.526","21.1","63.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","18","3.647","44.4","33.3","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Public Management","Course Total","37","3.583","32.4","48.6","16.2",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Microecon Policy Analysis","880
001","50","3.302","22.0","28.0","36.0","6.0","4.0",".",".",".",".",".",".",".","2.0",".","2.0","."
"Benefit-Cost Analysis","881
001","42","3.882","71.4","16.7","2.4",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Adv Pub Mgt:Constrnts&Acctblty","885
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","12","3.750","41.7","41.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","974
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","16","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"PUB AFFR
826","Dept. Total","343","3.547","34.1","30.3","14.3","2.9","2.0",".",".","2.3",".","12.2",".",".","1.5",".","0.3","."
