"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"SOC WORK
896","Dept. Total","1776","3.720","62.3","22.2","9.1","2.5","0.7","0.2","0.3","0.9","",".",".",".","0.2","1.4",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.918","88.8","6.3","2.5","1.3",".",".",".",".","",".",".",".",".","1.3",".",".","."
"Sophomore","","138","3.555","49.3","30.4","10.1","5.8","1.4","0.7","0.7",".","",".",".",".",".","1.4",".",".","."
"Junior","","214","3.576","49.5","30.4","14.0","3.7","0.9","0.9","0.5",".","",".",".",".",".",".",".",".","."
"Senior","","241","3.703","65.6","21.2","6.2","2.9","0.4","0.4","1.2",".","",".",".",".",".","1.7",".","0.4","."
"Undergraduates","","673","3.650","59.9","24.2","9.1","3.6","0.7","0.6","0.7",".","",".",".",".",".","1.0",".","0.1","."
"Special","","20","3.386","15.0","25.0","45.0","5.0",".",".",".","10.0","",".",".",".",".",".",".",".","."
"Graduate","","1076","3.783","64.4","21.0","8.6","1.8","0.7",".",".","1.3","",".",".","0.1","0.4","1.6",".","0.1","0.2"
"Prof Yr 3","","8","3.955","87.5","12.5",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","8","3.955","87.5","12.5",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","1777","3.720","62.2","22.2","9.1","2.5","0.7","0.2","0.3","0.9","",".",".","0.1","0.2","1.4",".","0.1","0.1"
