"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3301","3.235","33.4","19.2","20.8","10.0","7.1","1.9","0.9","4.2","",".","0.7","",".","0.4","1.1","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","539","2.972","18.0","19.1","28.9","17.1","13.0","2.6","0.9",".","",".","0.4","",".",".",".",".",".","."
"Sophomore","","634","3.163","30.6","18.6","24.9","13.9","7.6","1.4","1.6",".","",".","1.1","",".",".","0.3",".",".","."
"Junior","","803","3.292","35.4","22.5","23.4","8.7","6.6","1.9","0.5","0.1","",".","0.1","",".",".","0.5",".",".","0.1"
"Senior","","931","3.327","41.1","20.3","17.9","7.7","6.7","2.6","1.1","0.2","",".","0.2","",".","0.3","1.0","0.3",".","0.4"
"Undergraduates","","2907","3.209","33.0","20.3","23.0","11.1","8.0","2.1","1.0","0.1","",".","0.4","",".","0.1","0.5","0.1",".","0.2"
"Special","","24","3.031","29.2","25.0","12.5","16.7","8.3","8.3",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","368","3.786","36.4","10.1","3.8","0.8",".",".",".","37.0","",".","2.7","",".","2.7","5.7",".","0.8","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3301","3.235","33.4","19.2","20.8","10.0","7.1","1.9","0.9","4.2","",".","0.7","",".","0.4","1.1","0.1","0.1","0.2"
