"","990
064","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","22","",".",".",".",".",".","",".","",".","72.7",".",".",".","27.3",".",".",".","."
"B M E
207","Dept. Total","548","3.607","35.2","25.2","14.1","1.8","0.4","",".","",".","10.9",".","6.6",".","4.9","0.2",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","18","3.595","27.8","50.0","22.2",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","94","3.497","34.0","42.6","16.0","5.3","1.1","",".","",".",".",".","1.1",".",".",".",".",".","."
"Senior","","282","3.605","41.5","26.2","16.7","1.8","0.4","",".","",".",".",".","12.1",".",".","0.4",".","1.1","."
"Undergraduates","","394","3.583","39.1","31.2","16.8","2.5","0.5","",".","",".",".",".","8.9",".",".","0.3",".","0.8","."
"Special","","5","3.625","20.0","20.0",".",".",".","",".","",".","40.0",".","20.0",".",".",".",".",".","."
"Graduate","","174","3.713","21.8","8.0","6.3",".",".","",".","",".","32.2",".","17.2",".","13.8",".",".","0.6","."
"Prof Yr 2","","4","",".",".",".",".",".","",".","",".",".",".","50.0",".","50.0",".",".",".","."
"Prof Yr 4","","4","",".",".",".",".",".","",".","",".","75.0",".",".",".","25.0",".",".",".","."
"Professionals","","8","",".",".",".",".",".","",".","",".","37.5",".","25.0",".","37.5",".",".",".","."
"","Dept. Total","581","3.607","33.2","23.8","13.3","1.7","0.3","",".","",".","10.5",".","11.7",".","4.6","0.2",".","0.7","."
