"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.475","50.0","20.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","3.650","70.0","10.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","101
003","19","3.684","63.2","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
101","19","3.605","68.4","10.5","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","101
005","21","3.500","61.9","9.5","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","101
006","18","3.139","50.0","22.2","5.6","5.6",".","5.6","11.1",".",".",".",".",".",".",".",".","."
"","101
007","18","3.556","61.1","22.2","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","135","3.519","60.7","16.3","11.9","3.0","3.7","1.5","3.0",".",".",".",".",".",".",".",".","."
"","102
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","3.556","66.7","5.6","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.045","36.4","9.1","27.3",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","102
004","18","3.194","27.8","16.7","50.0",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","59","3.407","49.2","15.3","23.7","1.7","6.8","1.7","1.7",".",".",".",".",".",".",".",".","."
"","111
001","10","3.150","50.0",".","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","111
002","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","21","3.333","42.9","14.3","33.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","203
001","12","2.750","33.3","16.7","16.7",".","8.3","16.7","8.3",".",".",".",".",".",".",".",".","."
"","203
002","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
003","13","3.654","69.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","15","3.467","46.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
006","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","83","3.506","56.6","18.1","14.5","1.2","6.0","2.4","1.2",".",".",".",".",".",".",".",".","."
"","204
001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","19","3.579","68.4","10.5","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.614","63.6","13.6","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","61","3.656","65.6","16.4","13.1",".","1.6","3.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","235
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","23","3.674","65.2","30.4",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","249
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
249","16","3.400","43.8","25.0","18.8",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","249
003","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
004","17","3.647","52.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","249
005","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","76","3.727","67.1","18.4","10.5","1.3",".",".","1.3","1.3",".",".",".",".",".",".",".","."
"","258
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","18","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","258
003","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","44","3.659","56.8","25.0","11.4","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","13","3.577","53.8","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","29","3.776","75.9","10.3","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Literature","001
274","12","3.045","8.3","16.7","50.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
