"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1121","3.616","57.4","18.3","13.2","6.0","3.6","0.3","0.1","",".","",".",".","",".",".","1.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","2.560","2.4","7.1","35.7","19.0","31.0","4.8",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","29","2.914","20.7","3.4","41.4","13.8","17.2","3.4",".","",".","",".",".","",".",".",".",".",".","."
"Junior","","35","3.085","25.7","8.6","34.3","17.1","14.3",".",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","9","3.722","55.6","33.3","11.1",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","115","2.900","18.3","8.7","34.8","15.7","20.0","2.6",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","22","3.952","86.4","13.6",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","136","3.948","91.2","8.8",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","266","3.544","55.3","27.8","10.9","4.5","0.8",".",".","",".","",".",".","",".","0.4","0.4",".",".","."
"Prof Yr 3","","450","3.297","31.3","13.8","13.8","7.8","3.3",".","0.2","",".","",".",".","",".","28.7","1.1",".",".","."
"Prof Yr 4","","263","3.834","73.0","16.7","6.5","0.8",".",".",".","",".","",".",".","",".","0.4","2.3",".","0.4","."
"Professionals","","1115","3.658","54.2","17.2","9.7","4.4","1.5",".","0.1","",".","",".",".","",".","11.7","1.1",".","0.1","."
"","Dept. Total","1252","3.616","51.4","16.4","11.8","5.4","3.2","0.2","0.1","",".","",".",".","",".","10.5","1.0",".","0.1","."
