"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","76","2.816","6.6","15.8","31.6","34.2","9.2","1.3","1.3",".","",".","",".",".","",".","",".",".",".","."
"Asian American Movement","153
001","21","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","76","3.840","81.6","7.9","6.6",".","2.6",".",".",".","",".","",".",".","",".","",".","1.3",".","."
"Ethnic Movements in U.S.","220
001","21","3.524","42.9","33.3","9.5","14.3",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","240
001","29","3.552","58.6","13.8","10.3","13.8","3.4",".",".",".","",".","",".",".","",".","",".",".",".","."
"","240
002","17","3.781","58.8","29.4","5.9",".",".",".",".",".","",".","",".",".","",".","","5.9",".",".","."
"Topics-Asian Amer Studies","Course Total","46","3.633","58.7","19.6","8.7","8.7","2.2",".",".","",".","",".",".","",".","",".","2.2",".",".","."
"Survey of Asian Americn Lit","270
001","19","3.418","26.3","36.8","21.1","10.5",".",".",".",".","",".","",".",".","",".","","5.3",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","540
001","21","3.857","81.0","14.3",".","4.8",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","540
002","7","3.071","57.1","14.3",".",".","14.3",".","14.3",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","28","3.661","75.0","14.3",".","3.6","3.6",".","3.6","",".","",".",".","",".","",".",".",".",".","."
"Asian Amer Women Writers","595
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Ind Study:Directed Readings","699
002","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","299","3.482","51.5","15.7","13.7","12.0","3.7","0.3","0.7","",".","",".",".","",".","",".","2.0","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.200","40.6","9.4","15.6","15.6","9.4",".","3.1","",".","",".",".","",".","",".","6.3",".",".","."
"Sophomore","","56","3.664","67.9","10.7","7.1","8.9","3.6",".",".","",".","",".",".","",".","",".","1.8",".",".","."
"Junior","","76","3.561","55.3","15.8","9.2","13.2","2.6",".",".","",".","",".",".","",".","",".","2.6","1.3",".","."
"Senior","","132","3.432","44.7","19.7","18.9","12.1","2.3","0.8","0.8","",".","",".",".","",".","",".","0.8",".",".","."
"Undergraduates","","296","3.484","51.4","15.9","13.9","12.2","3.4","0.3","0.7","",".","",".",".","",".","",".","2.0","0.3",".","."
"Special","","3","3.333","66.7",".",".",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","299","3.482","51.5","15.7","13.7","12.0","3.7","0.3","0.7","",".","",".",".","",".","",".","2.0","0.3",".","."
