"E ASIAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","109","3.598","63.3","15.6","10.1","4.6","0.9","1.8","1.8","0.9",".",".",".",".","0.9",".",".","."
"","103","001","54","3.685","57.4","25.9","13.0","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","103","002","53","3.673","56.6","28.3","5.7","5.7","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","107","3.679","57.0","27.1","9.3","4.7","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","56","3.777","78.6","12.5","3.6","3.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"","122","001","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","122","002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","21","3.810","71.4","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","124","001","22","3.636","59.1","27.3",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","124","002","15","3.464","40.0","20.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","37","3.569","51.4","24.3","8.1","10.8","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","49","3.622","67.3","18.4","4.1","4.1","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","47","3.272","19.1","36.2","25.5","12.8","4.3",".",".","2.1",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","49","3.458","30.6","40.8","18.4","4.1","4.1",".",".",".",".",".",".",".",".","2.0",".","."
"Religion-Hist&Culture: East","273","001","10","3.400","30.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","21","3.405","42.9","4.8","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","050","7","2.714",".","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","2.875","12.5","25.0","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","25","3.100","16.0","28.0","32.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","42","3.588","54.8","21.4","14.3",".","2.4",".","2.4",".",".",".",".",".","4.8",".",".","."
"5th Semester Japanese","303","001","30","3.259","33.3","23.3","13.3","13.3","13.3",".",".","3.3",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Chinese","317","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","4","***","","","","","","","","","","","","","","","",""
"1st Yr Classical Chinese","321","001","26","3.580","50.0","26.9","11.5",".","7.7",".",".",".",".",".",".",".",".",".",".","3.8"
"Elementary Korean","325","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Chinese Conversation","333","001","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intmed Japanese Conversatn","335","001","15","3.786","66.7","20.0",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Classic Chinese-Non-Majors","341","001","31","3.806","61.3","38.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","15","3.695","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","20","3.215","15.0","35.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Chinese Literature","351","001","39","3.500","48.7","20.5","5.1","15.4",".","2.6",".",".",".",".",".",".","5.1",".",".","2.6"
"Survey of Japanese Literature","353","001","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","12","3.182","16.7","33.3","33.3",".",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"Seventh Semester Chinese","401","001","18","3.457","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
