"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","157
003","","25","3.905","68.0","16.0",".",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","75","3.717","52.0","29.3","9.3","1.3",".",".",".","6.7",".",".",".",".",".","1.3",".","."
"","162
001","","19","3.708","47.4","5.3","5.3",".","5.3",".",".","31.6",".",".",".",".",".","5.3",".","."
"","162
002","","19","3.200","10.5",".","42.1",".",".",".",".","42.1",".",".",".",".","5.3",".",".","."
"","162
003","","15","3.222","13.3","13.3","26.7",".","6.7",".",".","40.0",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","53","3.403","24.5","5.7","24.5",".","3.8",".",".","37.7",".",".",".",".","1.9","1.9",".","."
"","163
001","","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","163
002","","17","4.000","70.6",".",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","32","3.942","71.9","9.4",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Basketball I","170
001","","26","3.580","50.0","30.8","7.7","3.8",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"Soccer I","173
001","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Volleyball I","175
002","","29","3.661","48.3","31.0","17.2",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Softball","179
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Swimming","201
001","","20","3.861","65.0","25.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","211
001","","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","211
002","","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Intro to Martial Arts","Course Total","","34","3.953","88.2","2.9","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".","2.9"
"Golf II","238
001","","12","3.650","25.0","58.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Power Skating","244
001","","19","3.611","36.8","42.1","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","262
001","","19","3.808","52.6","5.3","10.5",".",".",".",".","26.3",".",".",".",".",".","5.3",".","."
"","262
002","","21","3.636","19.0","28.6","4.8",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","40","3.729","35.0","17.5","7.5",".",".",".",".","37.5",".",".",".",".",".","2.5",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","26","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bicycling","295
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","39","3.923","87.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","10","3.550","70.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Tennis III","362
001","","9","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
