"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","387","3.197","21.7","28.7","30.0","11.1","6.2","0.8","1.0","0.5",".",".",".",".",".",".",".","."
"310","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","005","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","008","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","011","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","012","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","121","",".",".",".",".",".",".",".",".",".","98.3","0.8",".",".",".",".","."
"320
Contemporary Issues-Intl St","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","27","2.500","3.7","11.1","40.7","14.8","7.4","3.7","11.1",".",".",".",".",".","3.7","3.7",".","."
"603
Topics:Culture-Age of Globlztn","001","","21","3.350","19.0","47.6","14.3","9.5","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"620
Topics-International Studies","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.850","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
