"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.381","38.1","38.1","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","101
004","25","3.580","64.0","8.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.568","45.5","36.4","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
007","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","25","3.625","48.0","32.0","8.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","101
010","23","3.738","52.2","30.4","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","101
012","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","23","3.565","60.9","17.4","8.7","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","101
015","22","3.636","54.5","31.8","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
017","20","3.575","45.0","40.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
018","21","3.357","28.6","28.6","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","271","3.621","53.9","27.3","10.3","4.8","1.8","0.4","0.4","1.1",".",".",".",".",".",".",".","."
"","102
002","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","7","3.214","42.9",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","70","3.643","55.7","22.9","17.1","2.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","10","3.556","40.0","40.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","201
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","26","3.840","76.9","15.4",".",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","203
002","19","3.611","52.6","21.1","15.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","203
003","23","3.043","13.0","30.4","17.4","30.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.786","76.2","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","006
203","21","3.214","9.5","38.1","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","93","3.408","37.6","25.8","19.4","11.8","4.3",".",".","1.1",".",".",".",".",".",".",".","."
"","204
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","15","3.385","26.7","33.3","13.3","6.7","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","29","3.704","62.1","17.2","6.9","3.4","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","16","3.200","25.0","18.8","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"Italian for Rdg Knowledge","301
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","19","3.353","26.3","26.3","26.3","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","22","3.386","40.9","22.7","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Il Seicento","641
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 237 of 410",""
