"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","449","2.972","22.7","12.9","34.5","8.7","15.1","5.6","0.4",".","",".",".","",".","",".",".",".",".","."
"Junior","609","3.099","27.4","18.7","28.9","7.6","12.6","3.3","1.3","0.2","",".",".","",".","",".",".",".",".","."
"Senior","694","3.223","25.9","23.6","32.7","8.2","6.5","1.4","0.7","0.3","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","1753","3.115","25.6","19.2","31.8","8.1","10.8","3.1","0.9","0.2","",".",".","",".","",".","0.2",".",".","."
"Special","22","3.333","31.8","18.2","40.9",".",".","4.5",".","4.5","",".",".","",".","",".",".",".",".","."
"Graduate","579","3.670","49.9","36.1","11.2","1.7","0.5",".",".","0.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","6","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","6","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
