"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"RURAL SOCIOLOGY","Section","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","","","",""
"699","070","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","072","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","073","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","10","4.000","90.0","",".","",".",".","",".","",".","",".","",".",".",".",".",".","10.0",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","071","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","072","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","073","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","",""
"993
Research:Soc of Econ Chnge","001","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","025","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","063","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","071","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"999","077","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","8","4.000","100.0","",".","",".",".","",".","",".","",".","",".",".",".",".",".",".",".",".","."
