"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","140","3.471","34.3","40.0","16.4","6.4","0.7","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"Introduction-Social Policy","206
001","101","3.619","51.5","30.7","11.9","4.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","275
001","89","3.948","88.8","5.6","2.2",".",".",".",".","1.1",".",".",".",".","2.2",".",".","."
"","400
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
009","13","3.887","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
016","12","3.840","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
017","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
018","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
019","11","3.633","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Field Pract/Integrat Smr I","Course Total","104","3.883","78.8","12.5","5.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","440
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","28","3.857","82.1","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
006","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","104","3.833","73.1","18.3","7.7","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","77","3.935","89.6","7.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
441","16","3.625","62.5","18.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","441
003","11","3.833","54.5","27.3",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","104","3.893","81.7","11.5","2.9","1.0","1.0",".",".",".",".",".",".",".","1.9",".",".","."
"Family Violence","523
001","56","3.429","46.4","28.6","10.7","7.1","1.8","3.6","1.8",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","23","3.250","26.1","34.8","17.4","13.0",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"","605
001","43","3.849","81.4","14.0",".","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
605","31","3.419","29.0","29.0","38.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","605
003","16","3.600","50.0","12.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"The Field of Social Work","Course Total","90","3.657","57.8","18.9","18.9","2.2","1.1",".",".",".",".",".",".",".",".",".",".","1.1"
"","606
001","31","3.855","74.2","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","606
002","17","3.559","41.2","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","48","3.750","62.5","29.2","6.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","001
640","92","3.676","60.9","21.7","12.0","3.3",".",".","1.1",".",".",".",".",".",".",".","1.1","."
"Soc Work & Devel Disabilities","644
001","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","646
001","24","3.625","70.8","16.7","4.2",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","646
002","16","3.936","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","646
003","18","3.694","66.7","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","646
004","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 300 of 410",""
