"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","047","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","049","13","3.308",".","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","12","3.250","8.3","33.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","10","3.300",".","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","12","3.125","33.3","25.0","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100","057","13","3.077",".","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.423","30.8","38.5","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","062","10","3.000",".","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100","064","11","2.864","9.1","18.2","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","726","3.340","21.1","43.1","24.8","7.2","2.6","0.4","0.6",".",".",".",".",".",".","0.3",".","."
"Elements of Speech-Honors","181","001","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","235","3.349","30.2","27.7","27.7","7.2","6.0",".",".","0.4",".",".",".",".",".","0.4","0.4","."
"Communication & Human Behav","260","001","227","3.031","8.4","29.1","37.9","15.0","7.5","1.8","0.4",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","137","3.066","7.3","37.2","29.9","18.2","5.1","1.5","0.7",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","51","3.490","33.3","39.2","21.6","3.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","139","2.996","12.2","33.8","23.0","15.8","8.6","2.2","2.9",".",".",".",".",".","1.4",".",".","."
"","288","001","18","3.111","11.1","44.4","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","288","002","13","3.231","38.5","30.8","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Honors Seminar in Com Arts","","Course Total","31","3.161","22.6","38.7","19.4",".","16.1",".","3.2",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","110","3.231","18.2","30.0","35.5","11.8","1.8",".","0.9","1.8",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","76","3.487","44.7","32.9","13.2","3.9","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","148","3.241","15.5","37.8","27.7","9.5","3.4","0.7","0.7","2.7",".",".",".",".","2.0",".",".","."
"Introduction to Television","351","001","161","3.006","9.9","32.9","26.7","16.8","8.7","4.3",".",".",".",".",".",".",".","0.6",".","."
"History of World Cinema","352","001","36","2.803","13.9","13.9","33.3","5.6","16.7","5.6","2.8","8.3",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","128","3.246","32.0","24.2","21.9","8.6","8.6","2.3","0.8","0.8",".",".",".",".","0.8",".",".","."
"History of Documentary Film","358","001","24","2.938","16.7","16.7","33.3","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","116","3.060","19.8","23.3","25.0","16.4","13.8","1.7",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","173","2.945","5.2","27.7","39.3","16.8","6.9","1.2","2.3",".",".",".",".",".",".","0.6",".","."
"Psychology of Communication","402","001","23","3.152","17.4","21.7","39.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","43","3.357","27.9","32.6","20.9","14.0","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Television Criticism","451","001","44","3.318","13.6","43.2","38.6","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","19","3.237","21.1","47.4","15.8",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.615","26.7","53.3","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","465","002","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.638","38.7","41.9","12.9",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"Writing for TV & Film","466","001","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","46","3.400","21.7","50.0","13.0","10.9","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"American Cinema Since 1970","552","001","87","3.040","21.8","19.5","33.3","11.5","8.0","3.4","2.3",".",".",".",".",".",".",".",".","."
