"704
PATH","","","","","","","","","","","","","","","","","","","",""
"","990
090","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".","",".",".","85.1","2.1",".",".","12.8",".",".",".","."
"PATH
704","Dept. Total","196","3.517","27.6","8.2","11.2","1.5","2.0","",".","0.5","20.4","0.5","21.9",".","3.1","1.0",".","2.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.393","42.9","7.1","42.9",".","7.1","",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","16","3.563","62.5","6.3","18.8","6.3","6.3","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","20","3.353","55.0","10.0","20.0","5.0","5.0","",".","5.0",".",".",".",".",".",".",".",".","."
"Senior","","18","3.563","55.6","5.6","16.7","5.6","5.6","",".",".",".",".",".",".",".",".",".","11.1","."
"Undergraduates","","68","3.464","54.4","7.4","23.5","4.4","5.9","",".","1.5",".",".",".",".",".",".",".","2.9","."
"Special","","10","3.607","40.0","10.0","30.0",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"Graduate","","132","3.607","28.8","6.8","1.5",".",".","",".",".","29.5","0.8","28.0",".","3.0",".",".","1.5","."
"Prof Yr 2","","6","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 3","","5","4.000","80.0",".",".",".",".","",".",".",".",".",".",".","20.0",".",".",".","."
"Prof Yr 4","","6","3.667","33.3","16.7","16.7",".",".","",".",".","16.7",".",".",".","16.7",".",".",".","."
"Professionals","","17","3.824","35.3","5.9","5.9",".",".","",".",".","5.9",".","35.3",".","11.8",".",".",".","."
"","Dept. Total","227","3.517","37.4","7.0","9.7","1.3","1.8","",".","0.4","17.6","0.4","18.9",".","2.6","0.9",".","1.8","."
