"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","268
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","9","3.222","22.2","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","54","3.583","46.3","27.8","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","361
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mus Cultr: Afr, Eur, Amers","400
001","15","3.500","33.3","26.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".","6.7",".","."
"Concert Band","41
001","56","4.000","98.2",".",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","23","3.522","52.2","8.7","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","25","3.333","32.0","24.0","36.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","22","3.273","18.2","40.9","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","295","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","114","3.947","91.2","5.3","2.6",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"","43
002","78","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","70","3.979","97.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","262","3.971","95.4","2.7","1.5",".",".",".",".",".",".",".",".",".","0.4",".",".","."
"Collegium Musicum","461
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing I","467
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","5","***","","","","","","","","","","","","","","","",""
