"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","9","3.111","22.2",".","66.7",".","11.1","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","36","3.043","30.6","19.4","19.4","5.6","22.2","",".","2.8",".","",".",".","",".",".","",".",".",".","."
"Senior","57","3.482","42.1","22.8","28.1","5.3","1.8","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","102","3.295","36.3","19.6","28.4","4.9","9.8","",".","1.0",".","",".",".","",".",".","",".",".",".","."
"Special","6","3.917","83.3","16.7",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","63","4.000","7.9",".",".",".",".","",".",".","71.4","",".",".","",".","20.6","",".",".",".","."
"Prof Yr 1","181","4.000","6.1",".",".",".",".","",".",".","91.7","",".",".","",".",".","",".",".","2.2","."
"Prof Yr 2","6","",".",".",".",".",".","",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","2","3.500",".","50.0",".",".",".","",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Professionals","189","3.893","5.8","0.5",".",".",".","",".",".","91.5","",".",".","",".",".","",".",".","2.1","."
