"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","187","2.633","13.9","14.4","20.9","16.0","17.6","10.7","3.2","1.1","0.5",".",".",".",".",".","1.1","0.5"
"101
Weather and Climate","001","","77","3.112","26.0","14.3","32.5","15.6","6.5","3.9",".",".",".",".",".",".","1.3",".",".","."
"105
Survey of Oceanography","001","","54","3.056","16.7","16.7","44.4","13.0","7.4",".","1.9",".",".",".",".",".",".",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","12","2.750","16.7","8.3","25.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","13","2.769","15.4","15.4","15.4","15.4","38.5",".",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","8","2.875",".","62.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","17","3.059","11.8","29.4","41.2","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Electronic Aids to Measmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"637
Cloud Physics","001","","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698
Directed Study","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Large-Scale Ocn-Atm Couplng","001","","12","3.682","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"771
Numerical Mod-Meteorology","001","","11","3.500","36.4","9.1","36.4",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"801
Topics-Theoretical Meteor","001","","6","3.864","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","10","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","50","",".",".",".",".",".",".",".","70.0",".",".",".","28.0","2.0",".",".","."
