"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","33","3.719","57.6","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","3.0"
"332
Macroprocessing-Materials","001","","16","3.313","25.0","25.0","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","142","3.631","65.5","13.4","10.6","4.9","3.5","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"351
Struct&Property Rels-Solids","001","","30","3.052","20.0","10.0","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","3.3"
"360","001","","10","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","12","3.273","16.7","41.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3"
"Materials Laboratory I","Course Total","","22","3.333","22.7","40.9","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","4.5"
"362
Materials Laboratory III","001","","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","18","3.882","72.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"390
Materials Sys&Desgn Proj II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","28","3.554","42.9","35.7","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","27","3.463","25.9","48.1","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","20","3.350","35.0","25.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"752
Adv Matls Sci-Phase Transfm","001","","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","37","",".",".",".",".",".",".",".","64.9",".",".",".","32.4","2.7",".",".","."
"803","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","015","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","38","3.866","73.7","10.5","2.6",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"890","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
