"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","18","3.583","44.4","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","19","3.737","63.2","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"300","001","","36","3.722","66.7","27.8","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"300","002","","30","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","97","3.845","77.3","20.6","1.0",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","25","3.458","24.0","48.0","16.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","85","3.262","22.4","30.6","22.4","17.6","3.5",".",".","1.2",".",".",".",".","2.4",".",".","."
"505
Issues in Urban Education","001","","33","3.823","66.7","21.2","6.1",".",".",".",".","3.0",".",".",".",".",".","3.0",".","."
"550
Philos of Moral Education","001","","23","3.841","65.2","30.4",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"560
Gender and Education","001","","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"570
Anthropology and Education","001","","21","3.600","38.1","38.1","19.0",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"600
Problems in Educ Pol","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"760
Ed in Develop Societies","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"788","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"788","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","Course Total","","12","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"795
Economics of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"906
Prosem-History of Education","001","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","29","",".",".",".",".",".",".",".","72.4",".",".",".","24.1","3.4",".",".","."
"999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 91 of 410"
