"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"556
Am Film Inds-Studio Sys Era","001","","34","3.147","29.4","14.7","32.4","8.8","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"560
Communication Theory","001","","20","3.350","40.0","20.0","25.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"562
Thry-Deliberation&Controversy","001","","12","3.458","50.0","8.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"571
Contemporary Rhetorical Theory","001","","12","3.583","58.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"609
Special Topics in Production","003","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"610","001","","13","3.333","38.5","30.8","15.4",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"610","002","","11","3.318","27.3","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"610","003","","24","3.229","20.8","29.2","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"610","004","","24","3.438","33.3","33.3","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","72","3.331","29.2","33.3","26.4","1.4","5.6","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"612","001","","22","3.455","45.5","4.5","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"612","002","","23","3.348","30.4","34.8","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","Course Total","","45","3.400","37.8","20.0","31.1","6.7","4.4",".",".",".",".",".",".",".",".",".",".","."
"613","001","","24","3.370","33.3","16.7","33.3","12.5",".",".",".",".",".",".",".",".","4.2",".",".","."
"613","003","","22","3.273","36.4","13.6","31.8","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"613","004","","25","3.340","40.0","16.0","20.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"613","006","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","83","3.378","41.0","15.7","25.3","10.8","6.0",".",".",".",".",".",".",".","1.2",".",".","."
"614","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","."
"615","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","3","***","","","","","","","","","","","","","","","",""
"651
Adv Video Productn&Directn","001","","29","3.293","6.9","44.8","48.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"667
Hist of Amer Public Address","001","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"691
Senior Thesis","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","6","3.600","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 184 of 410",""
