"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","68","3.200","19.1","32.4","22.1","17.6","1.5","2.9",".","1.5",".",".",".",".","2.9",".",".","."
"121
Horticulture Colloquium","001","","31","3.518","38.7","35.5","12.9",".",".",".","3.2","6.5",".",".",".",".",".","3.2",".","."
"232
Herbaceous Ornamntl Plant I","001","","34","3.313","47.1","8.8","20.6","8.8","2.9","2.9","2.9","5.9",".",".",".",".",".",".",".","."
"261
Turf Management","001","","11","3.045","45.5",".","18.2","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","13","2.154",".","7.7","23.1","7.7","46.2","7.7","7.7",".",".",".",".",".",".",".",".","."
"299
Independent Study","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"309
Disease-Landscp Trees&Shrub","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","17","3.147","29.4","23.5","23.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","42","2.976","26.2","23.8","16.7","14.3","4.8","7.1","4.8",".",".",".",".",".",".",".","2.4","."
"374
Tropical Horticulture","001","","29","3.852","79.3",".","13.8",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"461
Adv Turfgrass Mgmt & Physiol","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","11","3.300","18.2","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"571","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"811
Biometric Proc-Plnt Breedng","001","","8","3.500","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"957
Seminar-Plant Breeding","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","69.7",".",".",".","30.3",".",".",".","."
