"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"BIOSTATISTICS & MED INFORM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","",""
"Intro to Biostat Mthd-Pub Hlth","511
001","37","3.311","29.7","10.8","54.1","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","37","3.429","35.1","43.2","10.8",".",".",".","5.4",".",".",".",".",".",".",".","5.4","."
"Intro to Clinical Trials II","544
001","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Independent Study","699
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"B M I
210","Dept. Total","112","3.436","39.3","20.5","26.8","1.8","0.9",".","1.8","7.1",".",".",".",".",".",".","1.8","."
