"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Community & Envir Soc","001","","22","3.525","45.5","27.3","4.5","4.5","9.1",".",".","4.5",".",".",".",".","4.5",".",".","."
"210
Survey of Sociology","001","","27","2.944","14.8","33.3","14.8","14.8","18.5",".","3.7",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Gender & Work-Rural America","001","","16","2.469","6.3","12.5","31.3","6.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"222
Food, Culture, and Society","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","074","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","11","3.792","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"299","076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","078","","10","3.550","50.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"299","079","","8","4.000","12.5",".",".",".",".",".",".",".",".",".",".",".","87.5",".",".","."
"Independent Study","Course Total","","68","3.879","77.9","5.9","1.5","4.4",".",".",".",".",".",".",".",".","10.3",".",".","."
"357","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"360","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","6","2.833","16.7","33.3","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","12","2.958","16.7","25.0","33.3",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"361
Stats for Sociologists II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"365
Computing-Sociologcl Resrch","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","7","3.250","28.6","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"399","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"532","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"532","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Envir Stwrdshp & Soc Justice","001","","36","3.471","44.4","27.8","11.1","5.6","2.8",".","2.8",".",".",".",".",".","5.6",".",".","."
"565
Ethics of Modern Biotechnology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Community Organization&Change","001","","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","15","3.467","60.0","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"623
Gender, Society & Politics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
