"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"101
Orientation to Wildlfe Ecology","001","","41","3.900","90.2","2.4",".","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","34","2.636","8.8","8.8","32.4","20.6","17.6","5.9","2.9","2.9",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","61","3.175","32.8","8.2","34.4","9.8","11.5","1.6",".",".",".",".",".",".","1.6",".",".","."
"375","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"375","005","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"375","006","","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","44","3.532","52.3","20.5","20.5","2.3","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","46","2.989","13.0","23.9","26.1","21.7","10.9","2.2",".",".",".",".",".",".","2.2",".",".","."
"415
Tree Physiology","001","","17","3.676","70.6","5.9","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","9","2.667","33.3","11.1","11.1","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"500
Insects&Diseases-Forest Mgt","001","","22","3.250","31.8","27.3","22.7","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","17","3.353","17.6","47.1","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","68","3.647","66.2","11.8","14.7","5.9",".",".","1.5",".",".",".",".",".",".",".",".","."
"550
Forest Ecology","001","","71","3.944","93.0","2.8","1.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","37","3.432","29.7","37.8","27.0",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"571","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","18","3.389","22.2","38.9","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"590
Integrated Resource Mgmt","001","","10","3.150","30.0","10.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 24 of 410"
