"INTERDIS COURSES (SOHE)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","",""
"Community Newswriting","130","001","","32","3.563","34.4","50.0","12.5",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonprofit Sector: Overview","300","001","","20","3.400","35.0","20.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Strategic Plan-Nonprofit Orgs","345","001","","26","3.615","42.3","38.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350","001","","25","3.500","52.0","20.0","4.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","001","","11","3.948","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Prgm Planning-Fam&Consmr Ed","428","001","","28","3.214","10.7","50.0","21.4","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Fam & Consumer Educ","430","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership&Mgt-Nonprofit Orgs","460","001","","20","3.526","45.0","20.0","25.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","501","001","","108","3.995","99.1","0.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","111","3.992","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Leadershp","560","002","","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Independent Study","699","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
