"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Current Econ-Issues&Policy","100
001","124","2.972","23.4","16.1","20.2","18.5","18.5","3.2",".",".",".",".",".",".",".",".",".","."
"","101
001","389","2.781","15.4","18.0","20.1","20.6","17.5","6.9","1.5",".",".",".",".",".",".",".",".","."
"","002
101","384","2.812","15.6","18.5","19.8","21.6","16.7","6.5","1.0","0.3",".",".",".",".",".",".",".","."
"","101
003","346","3.218","29.2","31.2","18.2","8.7","7.2","3.2","1.7","0.6",".",".",".",".",".",".",".","."
"","004
101","345","2.913","18.3","26.1","15.9","18.3","10.7","7.8","1.4","0.6",".",".",".",".","0.3","0.6",".","."
"Principles-Microeconomics","Course Total","1464","2.923","19.4","23.2","18.6","17.5","13.3","6.1","1.4","0.3",".",".",".",".","0.1","0.1",".","."
"","102
001","214","2.669","4.7","16.8","30.4","22.0","17.8","6.5","1.4",".",".",".",".",".",".",".","0.5","."
"","102
002","238","3.021","10.1","25.2","40.8","11.8","10.1","1.7","0.4",".",".",".",".",".",".",".",".","."
"","102
003","262","3.124","14.1","30.5","35.5","8.8","9.5","1.5",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","714","2.954","9.9","24.6","35.7","13.7","12.2","3.1","0.6",".",".",".",".",".",".",".","0.1","."
"Prin/Econ-Accelratd Treatmt","111
001","35","3.176","34.3","20.0","17.1","8.6","11.4","5.7",".",".",".",".",".",".",".","2.9",".","."
"Internship Economics","228
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","9","2.000",".","22.2","11.1",".","33.3",".","22.2",".",".",".",".",".",".",".","11.1","."
"","300
002","19","2.632","10.5","5.3","21.1","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","28","2.444","7.1","10.7","17.9","25.0","25.0","3.6","7.1",".",".",".",".",".",".",".","3.6","."
"","301
002","183","2.907","20.2","20.2","19.1","20.2","12.6","6.0","1.6",".",".",".",".",".",".",".",".","."
"","003
301","169","2.821","17.2","18.9","18.9","18.9","17.2","7.1","1.2",".",".",".",".",".",".",".",".","0.6"
"Intmed Microeconomic Theory","Course Total","352","2.866","18.8","19.6","19.0","19.6","14.8","6.5","1.4",".",".",".",".",".",".",".",".","0.3"
"","302
001","174","3.184","20.7","25.3","31.6","16.1","5.7","0.6",".",".",".",".",".",".",".",".",".","."
"","002
302","156","3.135","19.9","22.4","33.3","17.3","4.5","1.3","0.6","0.6",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","330","3.161","20.3","23.9","32.4","16.7","5.2","0.9","0.3","0.3",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","89","2.685","7.9","14.6","32.6","14.6","21.3","9.0",".",".",".",".",".",".",".",".",".","."
"","310
001","90","3.090","15.6","25.6","31.1","16.7","8.9","1.1",".",".",".",".",".",".",".","1.1",".","."
"","310
002","93","3.075","17.2","19.4","33.3","23.7","5.4","1.1",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","183","3.082","16.4","22.4","32.2","20.2","7.1","1.1",".",".",".",".",".",".",".","0.5",".","."
"Intmed Microecon-Adv Treatment","311
001","31","3.250","32.3","16.1","25.8","12.9","9.7",".",".",".",".",".",".",".",".","3.2",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","3","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","181","2.783","6.6","18.8","23.8","30.9","16.6","2.8",".","0.6",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","112","2.695","17.9","9.8","28.6","5.4","30.4","3.6","4.5",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","30","2.948","20.0","16.7","30.0","13.3","10.0","3.3","3.3",".",".",".",".",".",".","3.3",".","."
"Introductory Econometrics","410
001","104","2.957","22.1","20.2","18.3","19.2","15.4","2.9","1.9",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","7","2.357",".","14.3","28.6","28.6",".","28.6",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","116","2.996","19.0","19.8","25.9","22.4","8.6","3.4","0.9",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","36","3.611","55.6","22.2","13.9","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","115","2.969","18.3","15.7","32.2","14.8","15.7","1.7","0.9","0.9",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467
001","84","2.931","20.2","11.9","25.0","20.2","14.3","2.4","1.2",".",".",".",".",".","1.2","3.6",".","."
"Indus Organizat/Imperf Comp","468
001","70","2.850","27.1","17.1","15.7","12.9","17.1","2.9","7.1",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473
001","18","3.444","38.9","22.2","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477
001","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
