"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","147","3.541","53.7","26.5","11.6","1.4","3.4","1.4","2.0",".",".",".",".",".",".",".",".","."
"","450
001","","40","3.808","62.5","32.5","2.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","450
002","","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","96","3.874","75.0","22.9","1.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"","451
001","","40","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","451
002","","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","63","3.903","79.4","19.0",".",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","551
001","","28","3.852","75.0","14.3","7.1",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","551
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","42","3.902","83.3","9.5","4.8",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Hist-American Librarianship","569
001","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
001","","11","3.650","72.7","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".",".","9.1"
"","002
570","","7","3.500","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","570
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Books&Print Culture","Course Total","","19","3.611","73.7","5.3",".","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3"
"Fld Proj-Lib&Info Agencies","620
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","622
001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Childrens Literature","Course Total","","29","3.759","58.6","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","629
001","","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Literacy Pedagogy","Course Total","","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","11","3.591","36.4","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","21","3.690","52.4","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","","32","3.766","62.5","28.1","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","755
001","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Lib Serv-Chldrn&Young Adult","772
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 250 of 410",""
