"ALS","","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"GENETICS
412","Dept. Total","566","3.099","33.6","11.3","17.1","6.4","12.9","2.7","1.2","9.2","0.2",".","",".","4.2","0.5","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.049","24.0","12.0","44.0",".","20.0",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","65","3.455","67.7","4.6","10.8","6.2","4.6","3.1","1.5",".","1.5",".","",".",".",".",".",".","."
"Junior","","114","2.836","36.0","6.1","18.4","5.3","26.3","6.1","1.8",".",".",".","",".",".",".",".",".","."
"Senior","","215","3.070","34.0","14.4","20.5","9.3","14.0","2.8","1.9",".",".",".","",".","0.9","1.4","0.5","0.5","."
"Undergraduates","","419","3.060","39.1","10.5","19.8","7.2","16.2","3.6","1.7",".","0.2",".","",".","0.5","0.7","0.2","0.2","."
"Special","","11","3.083","18.2","9.1","9.1",".","18.2",".",".","27.3",".",".","",".",".",".","9.1","9.1","."
"Graduate","","136","3.389","17.6","14.0","9.6","4.4","2.2",".",".","36.0",".",".","",".","16.2",".",".",".","."
"","Dept. Total","566","3.099","33.6","11.3","17.1","6.4","12.9","2.7","1.2","9.2","0.2",".","",".","4.2","0.5","0.4","0.4","."
