"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","365","3.509","50.1","26.3","13.7","4.9","1.9","0.8","1.6",".",".",".",".",".","0.3",".","0.3","."
"Voice Training","140
001","13","3.769","76.9","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","18","3.361","33.3","44.4","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","150
003","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
010","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","121","3.831","80.2","13.2","4.1","0.8","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","26","3.700","65.4","11.5","15.4",".","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"","161
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Undergrad Topics-Theatre&Drama","219
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","42","3.488","54.8","9.5","21.4","9.5",".",".","2.4",".",".",".",".",".","2.4",".",".","."
"Intermediate Voice Training","240
001","20","3.650","80.0",".","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","250
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","30","3.683","50.0","36.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Acting Realism","350
001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","52","3.837","69.2","28.8","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","18","3.625","50.0","22.2","16.7","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","366
001","9","3.862","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","9","3.875","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
