"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ- A A E","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Intro to Agr & Applied Econ","001","","89","2.733","18.0","18.0","22.5","10.1","15.7","11.2","3.4","1.1",".",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"306
The Real Estate Process","001","","19","2.737","15.8","10.5","26.3","10.5","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","44","3.182","20.5","29.5","25.0","15.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","34","2.748","29.4","8.8","17.6","8.8","17.6","8.8","5.9","2.9",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","17","3.235","41.2","29.4","11.8","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"399","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","3.846","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"419
Agricultural Finance","001","","24","3.130","37.5",".","33.3","16.7",".","8.3",".","4.2",".",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","16","3.300","25.0","25.0","25.0","18.8",".",".",".",".",".",".",".",".","6.3",".",".","."
"477
Agri & Econ Development-Africa","001","","21","3.026","19.0","14.3","47.6",".",".","4.8","4.8","4.8",".",".",".",".",".",".","4.8","."
"526
Quant Mthds-Ag & Appl Econ","001","","10","2.875","20.0","10.0",".","30.0","20.0",".",".","10.0",".",".",".",".","10.0",".",".","."
"635
Applied Microeconomic Thry","001","","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal I","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"731
Economics of Development 2","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Advanced Policy Analysis","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"747
Economics of Food Industry","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"762
Environmental Economics","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","6","3.438","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 1 of 410"
