"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","122
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","30","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"Myth and Literature","155
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Brit & Amer Lit pre-1914","167
001","30","3.397","26.7","33.3","30.0","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Intro to Modern Lit since 1900","168
001","308","3.153","14.0","29.5","37.3","14.0","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"","169
001","20","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","169
002","144","3.401","40.3","27.8","15.3","9.7","3.5",".","2.1",".",".",".",".",".","1.4",".",".","."
"Intro to Modern American Lit","Course Total","164","3.423","41.5","27.4","16.5","8.5","3.0",".","1.8",".",".",".",".",".","1.2",".",".","."
"Literature, Gender & Sexuality","171
171","261","3.213","26.8","20.3","40.2","5.4","3.8","1.1","2.3",".",".",".",".",".",".",".",".","."
"","173
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
173","302","3.115","16.9","31.8","27.2","12.9","7.9","2.0","1.0",".",".",".",".",".","0.3",".",".","."
"Intro-Ethnic&Multicultural Lit","Course Total","320","3.165","21.6","30.0","25.6","12.2","7.5","1.9","0.9",".",".",".",".",".","0.3",".",".","."
"","175
001","19","3.553","47.4","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","175
002","124","3.240","25.0","37.1","17.7","10.5","5.6","0.8","2.4","0.8",".",".",".",".",".",".",".","."
"Lit & the Other Disciplines","Course Total","143","3.282","28.0","35.0","18.9","9.8","4.9","0.7","2.1","0.7",".",".",".",".",".",".",".","."
"Freshman Honors Seminar","181
001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","14","2.714","21.4","14.3","21.4","28.6",".",".","14.3",".",".",".",".",".",".",".",".","."
"","201
004","18","3.676","50.0","33.3","5.6","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","201
005","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","16","2.867","37.5","12.5","6.3","12.5","12.5",".","12.5",".",".",".",".",".",".","6.3",".","."
"","201
008","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","16","3.633","31.3","56.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","012
201","16","3.313","6.3","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","200","3.533","46.5","30.5","14.0","4.5","1.0",".","2.0",".",".",".",".",".","1.0","0.5",".","."
"","203
001","15","3.700","60.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.618","70.6","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","203
003","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","16","3.531","43.8","43.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","203
005","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","82","3.732","69.5","22.0","4.9",".","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"British Literature Before 1750","215
001","147","3.503","40.1","32.7","16.3","6.1","2.0",".","0.7","0.7",".",".",".",".","1.4",".",".","."
"British&Anglo Lit 1750-Present","216
001","141","3.181","19.9","34.8","28.4","8.5","3.5","3.5","1.4",".",".",".",".",".",".",".",".","."
"American Literature","217
001","136","3.163","16.9","30.1","32.4","12.5","5.9","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"Shakespearean Drama","001
219","105","3.225","28.6","19.0","25.7","15.2","8.6",".",".","1.0",".",".",".",".","1.9",".",".","."
"Bascom Course","236
001","19","3.211","42.1","10.5","10.5","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","14","3.269","35.7","21.4","28.6",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"","300
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
