"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","224
005","24","3.109","12.5","37.5","29.2","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","4.2"
"","224
006","23","3.500","39.1","30.4","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","007
224","23","3.435","30.4","30.4","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","224
008","22","3.523","40.9","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
224","24","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","224
011","16","3.438","43.8","12.5","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","224
012","23","3.565","43.5","34.8","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","218","3.498","40.8","28.9","22.0","6.0","1.4",".","0.5",".",".",".",".",".",".",".",".","0.5"
"","226
001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","20","3.525","50.0","15.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","226
003","20","3.325","35.0","10.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
226","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","16","3.406","37.5","18.8","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","20","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","008
226","19","3.556","26.3","52.6","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
009","15","3.433","46.7","13.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","226
010","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","19","3.368","31.6","31.6","26.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","226
012","19","3.447","36.8","26.3","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
013","18","3.139","5.6","38.9","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","226
014","17","3.529","52.9","11.8","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","19","3.237","15.8","47.4","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","226
016","19","3.237",".","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","18","3.353","27.8","16.7","44.4","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","018
226","15","3.033","33.3","6.7","33.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","226
019","20","2.950","30.0",".","25.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","020
226","19","3.368","26.3","47.4","10.5","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","021
226","19","3.289","15.8","31.6","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
022","19","3.368","36.8",".","63.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
023","18","2.719","16.7",".","33.3","16.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".","."
"","226
024","19","3.316","26.3","31.6","31.6",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","027
226","19","3.079","15.8","21.1","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
028","20","3.575","50.0","15.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","029
226","16","3.300","12.5","37.5","37.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","500","3.361","32.0","25.2","31.4","5.8","3.6","0.6","0.4","1.0",".",".",".",".",".",".",".","."
"Directed Study","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","20","3.028","10.0","15.0","45.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".","5.0","."
"","311
005","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","19","3.342","15.8","52.6","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","18","3.583","50.0","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
