"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","87","3.331","31.0","29.9","24.1","5.7","1.1",".","3.4","4.6",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","42","3.638","45.2","35.7","9.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Opera","105
001","76","3.580","65.8","9.2","13.2","2.6","5.3","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"","113
001","555","3.950","96.2","1.6","1.4",".",".","0.2","0.5",".",".",".",".",".",".",".",".","."
"","113
002","101","4.000","1.0",".",".",".",".",".",".","98.0",".",".",".",".",".",".","1.0","."
"Music in Performance","Course Total","656","3.951","81.6","1.4","1.2",".",".","0.2","0.5","15.1",".",".",".",".",".",".","0.2","."
"","121
001","23","3.239","21.7","13.0","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","33","3.167","18.2","18.2","51.5","3.0","9.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","56","3.196","19.6","16.1","53.6","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","151
001","34","3.803","70.6","20.6","2.9",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","151
002","23","3.761","69.6","21.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","151
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","151
004","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","77","3.711","64.9","23.4","3.9","2.6","2.6","1.3",".","1.3",".",".",".",".",".",".",".","."
"","171
101","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","11","3.409","36.4","9.1","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
171","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","56","3.330","17.9","35.7","41.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","294","3.580","52.0","24.8","10.5","5.8","4.8",".",".","1.4",".",".",".",".",".","0.7",".","."
"Survey-Hist Western Music","211
001","54","3.010","24.1","13.0","22.2","14.8","22.2",".",".","1.9",".",".",".",".",".","1.9",".","."
"","221
001","23","3.500","21.7","52.2","21.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","221
002","31","3.468","29.0","41.9","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","54","3.481","25.9","46.3","22.2","3.7",".",".",".",".",".",".",".",".","1.9",".",".","."
"","253
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","262
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","43","3.977","97.7",".","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","267
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
