"","999
068","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
071","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
076","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
077","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","60","3.952","56.7","6.7",".",".",".",".",".","25.0","",".",".","",".","3.3","5.0",".","3.3","."
"HISTORY
448","Dept. Total","3536","3.323","26.3","29.1","23.1","7.2","4.0","0.5","0.5","4.9","",".","0.7","",".","1.4","1.2","0.4","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","458","3.259","21.8","36.0","24.9","11.1","4.8","0.7","0.2",".","",".",".","",".",".","0.2","0.2",".","."
"Sophomore","","656","3.275","22.0","35.1","28.2","9.3","4.3","0.5","0.5",".","",".",".","",".",".","0.3",".",".","."
"Junior","","795","3.261","23.3","32.2","28.6","7.9","5.7","0.8","0.6","0.1","",".","0.1","",".",".","0.5","0.1","0.1","."
"Senior","","1154","3.339","30.0","29.6","24.4","6.8","4.2","0.6","0.8","0.7","",".",".","",".","1.6","1.0",".","0.3","."
"Undergraduates","","3063","3.291","25.3","32.4","26.4","8.3","4.7","0.6","0.6","0.3","",".","0.0","",".","0.6","0.6","0.1","0.2","."
"Special","","134","3.692","13.4","9.7","2.2","0.7",".",".",".","52.2","",".","1.5","",".",".","3.0","9.0","8.2","."
"Graduate","","339","3.898","40.7","6.8","1.8",".",".",".",".","28.3","",".","6.2","",".","9.1","6.2",".","0.6","."
"","Dept. Total","3536","3.323","26.3","29.1","23.1","7.2","4.0","0.5","0.5","4.9","",".","0.7","",".","1.4","1.2","0.4","0.5","."
