"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","724","2.804","31.8","10.2","24.0","2.1","13.8","7.2","3.5","7.2","",".","0.1","",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","89","2.414","19.1","1.1","32.6","6.7","13.5","20.2","6.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","149","2.633","23.5","2.0","33.6","3.4","22.1","12.1","3.4",".","",".",".","",".",".","",".",".",".","."
"Senior","","148","2.751","41.9","3.4","20.3","1.4","18.2","7.4","7.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","386","2.623","29.5","2.3","28.2","3.4","18.7","12.2","5.7",".","",".",".","",".",".","",".",".",".","."
"Special","","14","2.284","28.6",".","21.4",".","21.4","14.3","14.3",".","",".",".","",".",".","",".",".",".","."
"Graduate","","241","3.664","38.6","26.1","12.4","0.4","0.4",".",".","21.2","",".","0.4","",".","0.4","",".",".",".","."
"Prof Yr 1","","82","2.835","23.2","2.4","39.0","1.2","29.3","3.7","1.2",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","83","2.835","22.9","2.4","38.6","1.2","28.9","3.6","1.2","1.2","",".",".","",".",".","",".",".",".","."
"","Dept. Total","724","2.804","31.8","10.2","24.0","2.1","13.8","7.2","3.5","7.2","",".","0.1","",".","0.1","",".",".",".","."
