"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","39","3.154","20.5","35.9","20.5","15.4","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","45","2.489","4.4","20.0","24.4","15.6","15.6","17.8","2.2",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","36","3.222","16.7","36.1","30.6","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","57","3.645","52.6","28.1","10.5","1.8","3.5",".",".","3.5",".",".",".",".",".",".",".","."
"399","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"409
Career Management-Engineers","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"473
Irrigatn&Drainage Sys Dsgn","001","","24","2.854","8.3","45.8","8.3","8.3","16.7","12.5",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","13","3.154","23.1","23.1","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Engr Senior Design","001","","20","3.500","45.0","5.0","20.0","5.0","5.0",".",".",".",".",".",".",".","20.0",".",".","."
"671
Topics-Natural Resrces Engr","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","30.3",".",".",".","69.7",".",".",".","."
