"POLITICAL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Politcl Power-Contemp China","642","001","","65","3.100","12.3","29.2","40.0","6.2","10.8","1.5",".",".",".",".",".",".",".",".",".","."
"Politics of Revolution","654","001","","17","3.206","41.2","29.4","17.6",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"","681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis Smr","683","001","","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Honors Research Internship","685","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","695","002","","9","3.438","44.4","11.1","22.2",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","695","003","","20","3.842","65.0","30.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","","29","3.722","58.6","24.1","6.9",".","3.4",".",".",".",".",".",".",".","6.9",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","14","3.870","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poli Sci-Discipline&Profession","800","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Method Pol Inquiry:Quant","817","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Maximum Likelihood Estimation","818","001","","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"Political Communication","829","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nationalism & Ethnic Conflict","854","001","","12","3.550","25.0","41.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intl Relations Theories","857","001","","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"American Political Parties","873","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","900","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","904","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Politics","","Course Total","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Sem-Adv Methodology","919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Political Theory","931","003","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"Feminist Political Theory","933","001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Smr-Natl Security Affairs","945","001","","6","4.000","50.0",".",".",".",".",".",".","16.7",".",".",".",".","33.3",".",".","."
"Smr:Topics in Comp Politics","948","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Politic Colloquium","987","001","","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"International Relations Wkshop","988","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Politics Workshop","989","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
