"Fifth Semester Persian","563
001","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Fifth Semester Urdu","571
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Hindi Lit","654
001","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Sanskrit","675
001","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","295","3.831","78.3","13.6","5.8","0.7","0.7","0.3","",".","0.3","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","3.790","70.0","20.0","8.0","2.0",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","66","3.769","74.2","13.6","9.1",".","3.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","68","3.875","80.9","14.7","4.4",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","53","3.768","75.5","11.3","7.5","1.9",".","1.9","",".","1.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","","237","3.803","75.5","14.8","7.2","0.8","0.8","0.4","",".","0.4","",".",".","",".","",".",".",".",".","."
"Special","","5","3.900","80.0","20.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","53","3.963","90.6","7.5",".",".",".",".","",".",".","",".",".","",".","",".","1.9",".",".","."
"","Dept. Total","295","3.831","78.3","13.6","5.8","0.7","0.7","0.3","",".","0.3","",".",".","",".","",".","0.3",".",".","."
