"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","208","2.537","17.3","8.2","19.2","9.1","28.4","12.5","2.9","1.0","0.5",".",".",".",".","0.5",".","0.5"
"Beginning Swimming","102
001","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","125
001","16","4.000","6.3",".",".",".",".",".",".","81.3",".",".",".",".",".",".","12.5","."
"","125
002","15","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".","33.3","."
"","125
003","24","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"","125
004","20","",".",".",".",".",".",".",".","65.0",".",".",".",".",".",".","35.0","."
"Adapted Fitness&Pers Traing","Course Total","75","4.000","1.3",".",".",".",".",".",".","72.0",".",".",".",".",".",".","26.7","."
"","129
001","25","3.326","20.0","28.0","36.0","8.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"","129
002","25","3.364","28.0","16.0","36.0","8.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"","129
003","20","3.868","75.0","15.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","70","3.500","38.6","20.0","27.1","5.7",".",".",".","8.6",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","29","3.569","62.1","31.0",".",".",".",".","6.9",".",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","131
001","27","3.826","59.3","22.2","3.7",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"","132
001","22","3.250","22.7","18.2","9.1","4.5","4.5","4.5",".","31.8",".",".",".",".","4.5",".",".","."
"","132
002","21","3.765","57.1","14.3","4.8","4.8",".",".",".","19.0",".",".",".",".",".",".",".","."
"","003
132","19","3.750","63.2","21.1","5.3","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","132
004","25","3.792","60.0","32.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","132
005","25","3.978","88.0","4.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","132
006","21","3.714","52.4","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
132","23","3.775","65.2","8.7","8.7","4.3",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"","132
008","21","3.833","57.1","4.8","9.5",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Weight Training","Course Total","177","3.753","58.8","17.5","6.2","2.3","0.6","0.6",".","12.4",".",".",".",".","1.7",".",".","."
"","133
001","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","133
002","26","3.760","61.5","26.9","3.8","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"","003
133","24","3.250","8.3","41.7","20.8","8.3","4.2",".",".","16.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","73","3.669","52.1","27.4","8.2","4.1","1.4",".",".","6.8",".",".",".",".",".",".",".","."
"","134
001","20","3.275","20.0","35.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","134
002","21","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","134
003","21","3.844","61.9","9.5",".","4.8",".",".",".","19.0",".",".",".",".","4.8",".",".","."
"","134
004","20","3.559","40.0","25.0","10.0","10.0",".",".",".","10.0",".",".",".",".","5.0",".",".","."
"Relaxation Tech & Exercise","Course Total","82","3.655","52.4","17.1","11.0","3.7","2.4",".",".","11.0",".",".",".",".","2.4",".",".","."
"","138
001","15","3.714","26.7","13.3","6.7",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","138
003","17","3.500","23.5","23.5","11.8","5.9",".",".",".","29.4","5.9",".",".",".",".",".",".","."
"","138
005","17","3.167","23.5","17.6","17.6","5.9",".",".","5.9","29.4",".",".",".",".",".",".",".","."
"","006
138","16","3.750","75.0",".",".","6.3","6.3",".",".","6.3",".",".",".",".","6.3",".",".","."
"Golf I","Course Total","65","3.523","36.9","13.8","9.2","4.6","1.5",".","1.5","29.2","1.5",".",".",".","1.5",".",".","."
"","140
001","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","140
002","18","3.679","44.4","22.2","5.6","5.6",".",".",".","22.2",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","37","3.697","54.1","24.3","5.4","2.7","2.7",".",".","10.8",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","14","3.542","28.6","42.9","7.1","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","14","3.679","71.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Badminton I","155
001","17","3.269","5.9","35.3","29.4","5.9",".",".",".","17.6",".",".",".",".",".","5.9",".","."
"","157
001","30","3.569","36.7","40.0","16.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"","157
002","20","3.737","55.0","30.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 97 of 410"
