"EDU","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
001
Art in Elementary Education","","13","3.923","92.3",".","7.7",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"324
002
Art in Secondary Education","","13","3.923","84.6","15.4",".",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"470
001
Practicum in Elem School Art","","13","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"493
001
Practicum-Secondary School Art","","13","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"557
001
Learning Through Design","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"951
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"951
002","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Seminar in Art Education","","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
Dept. Total
176","","60","3.949","91.7","3.3","3.3",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","41","3.963","95.1","2.4","2.4",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","41","3.963","95.1","2.4","2.4",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","12","3.958","91.7","8.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","7","3.833","71.4",".","14.3",".","",".","",".","",".","",".","",".",".","",".","",".","14.3",".",".","."
"Dept. Total","","60","3.949","91.7","3.3","3.3",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
