"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Child Abuse and Neglect","Course Total","72","3.751","73.6","16.7","4.2",".","2.8",".","1.4",".",".",".",".",".","1.4",".",".","."
"","672
001","23","3.750","65.2","21.7","4.3",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","672
002","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","Course Total","37","3.750","64.9","24.3","2.7","2.7","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"Topics-Contemp Soc Welfare","675
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","3.868","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Human Behavior & Environmnt","711
001","39","3.897","92.3",".","5.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","712
001","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","32","3.203","9.4","37.5","37.5","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"","712
003","18","3.294","16.7","44.4","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","5.6"
"","005
712","26","3.154","7.7","34.6","38.5","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"","712
006","17","3.735","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","114","3.398","29.8","31.6","26.3","10.5","0.9",".",".",".",".",".",".",".",".",".",".","0.9"
"","741
001","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","002
741","23","3.674","65.2","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","741
003","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","69","3.735","65.2","20.3","8.7","2.9","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","10","3.389","10.0","50.0","30.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","800
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","12","3.933","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
012","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
013","15","3.885","66.7","20.0",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","800
014","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","12","3.912","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
021","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","800
022","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
023","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
024","8","3.429",".","75.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Field Prac/Integrat Smr III","Course Total","130","3.853","70.0","23.8","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Field Pract/Integrat Smr IV","801
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825
001","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","835
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","35","3.882","74.3","22.9",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","836
001","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
