"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
002","50","2.950","12.0","22.0","30.0","20.0","14.0","2.0",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","82","2.927","13.4","20.7","26.8","20.7","15.9","2.4",".",".",".",".",".",".",".",".",".","."
"","349
002","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","349
004","16","3.156",".","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","16","3.219","12.5","31.3","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","38","3.211","13.2","34.2","36.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"","351
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","26","3.712","46.2","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","40","3.088","32.5","15.0","22.5","17.5","2.5","10.0",".",".",".",".",".",".",".",".",".","."
"","361
002","59","3.076","10.2","22.0","47.5","13.6","6.8",".",".",".",".",".",".",".",".",".",".","."
"","361
003","43","2.837","11.6","9.3","34.9","32.6","9.3",".","2.3",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","142","3.007","16.9","16.2","36.6","20.4","6.3","2.8","0.7",".",".",".",".",".",".",".",".","."
"","363
001","62","2.934","6.5","16.1","48.4","16.1","9.7","1.6",".",".",".",".",".",".","1.6",".",".","."
"","363
002","63","3.057","23.8","7.9","44.4",".","19.0","1.6",".",".",".",".",".",".","1.6",".","1.6","."
"Fluid Dynamics","Course Total","125","2.996","15.2","12.0","46.4","8.0","14.4","1.6",".",".",".",".",".",".","1.6",".","0.8","."
"","364
001","58","2.940","27.6","10.3","24.1","8.6","24.1","5.2",".",".",".",".",".",".",".",".",".","."
"","364
002","40","2.838","15.0","22.5","22.5","10.0","22.5","7.5",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","98","2.898","22.4","15.3","23.5","9.2","23.5","6.1",".",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","79","3.237","25.3","17.7","43.0","6.3","5.1","1.3",".",".",".",".",".",".","1.3",".",".","."
"Energy Systems Laboratory","370
001","58","3.060","20.7","22.4","24.1","13.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
001","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","20","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","43","3.791","74.4","9.3","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","47","3.787","72.3","12.8","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","419
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","27","2.870","33.3","18.5","7.4","14.8","14.8",".","11.1",".",".",".",".",".",".",".",".","."
"","446
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","30","2.933","30.0","26.7","6.7","13.3","13.3",".","10.0",".",".",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","21","3.548","52.4","23.8","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","44","3.163","25.0","2.3","50.0","20.5",".",".",".","2.3",".",".",".",".",".",".",".","."
