"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2182","3.236","34.2","20.2","23.6","7.3","7.2","2.9","1.6","1.8","",".","0.1","",".","0.7","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.341","41.5","26.8","14.6","7.3","4.9","2.4","2.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","487","3.169","32.0","19.1","25.1","10.5","8.0","3.9","1.2",".","",".",".","",".",".","0.2",".",".","."
"Junior","","675","3.125","31.4","17.9","25.8","9.0","9.6","4.0","1.9","0.1","",".","0.1","",".",".",".",".",".","."
"Senior","","525","3.160","33.5","18.3","24.0","7.4","9.3","3.2","2.3","0.8","",".","0.2","",".","0.2","0.8",".",".","."
"Undergraduates","","1728","3.153","32.5","18.6","24.8","8.9","9.0","3.7","1.9","0.3","",".","0.1","",".","0.1","0.3",".",".","."
"Special","","24","3.092","25.0","25.0","33.3",".","4.2",".","8.3","4.2","",".",".","",".",".",".",".",".","."
"Graduate","","426","3.594","41.5","26.3","18.8","1.2","0.2",".","0.2","7.7","",".","0.2","",".","3.3","0.5",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","4","3.769","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2182","3.236","34.2","20.2","23.6","7.3","7.2","2.9","1.6","1.8","",".","0.1","",".","0.7","0.3",".",".","."
