"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
003","17","3.235","11.8","41.2","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","004
344","16","3.344","31.3","37.5","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
005","16","3.250","25.0","31.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
006","14","3.250","35.7","14.3","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","344
007","15","3.100","13.3","40.0","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","008
344","15","3.067","13.3","40.0","13.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"","344
009","15","3.200","26.7","13.3","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
010","14","2.929","14.3","21.4","35.7","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","344
012","16","3.250","18.8","31.3","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
013","18","3.167","16.7","27.8","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
014","15","3.100","20.0","33.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","015
344","15","3.233","26.7","20.0","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
016","15","3.233","26.7","26.7","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
017","17","3.147","11.8","29.4","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
018","17","3.059","23.5","29.4","17.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","344
019","15","3.267","26.7","20.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","14","3.179","21.4","14.3","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
021","14","3.250","28.6","21.4","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
022","17","3.088","11.8","29.4","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
023","17","3.206","29.4","17.6","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.324","35.3","17.6","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
025","17","3.147","11.8","41.2","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
026","17","3.088","23.5","17.6","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","344
027","17","3.147","23.5","17.6","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","411","3.186","22.1","27.3","27.0","15.8","6.6","1.0","0.2",".",".",".",".",".",".",".",".","."
"","001
345","246","2.724","21.1","8.9","30.1","7.3","19.9","8.1","4.5",".",".",".",".",".",".",".",".","."
"","345
002","214","2.846","16.8","10.3","34.1","10.7","22.9","2.3","1.4","0.9",".",".",".",".","0.5",".",".","."
"Intmed Organic Chemistry","Course Total","460","2.780","19.1","9.6","32.0","8.9","21.3","5.4","3.0","0.4",".",".",".",".","0.2",".",".","."
"Intmed Organic Chem Lab","346
002","15","3.231","20.0","20.0","33.3","6.7","6.7",".",".",".",".",".",".",".","6.7",".","6.7","."
"Undergrad Rheology Seminar","425
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","25","3.460","36.0","28.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","16","3.219","25.0","37.5","18.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","11","3.455","45.5","27.3",".","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","44","2.807","29.5","13.6","20.5","2.3","22.7","2.3","9.1",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","74","2.858","21.6","5.4","31.1","20.3","16.2","4.1","1.4",".",".",".",".",".",".",".",".","."
"","563
001","19","2.921","26.3","21.1","21.1","5.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","563
003","20","3.605","55.0","15.0","20.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","563
004","18","3.306","33.3","33.3","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","563
006","16","2.969","31.3","18.8","31.3",".","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","73","3.208","37.0","21.9","23.3","2.7","6.8","1.4","5.5",".",".",".",".",".","1.4",".",".","."
"","564
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
