"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","288","3.087","24.7","21.2","18.8","19.1","16.0",".","0.3",".",".",".",".",".",".",".",".","."
"","103
002","295","2.922","15.9","20.0","21.0","22.0","19.7","1.0","0.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","583","3.003","20.2","20.6","19.9","20.6","17.8","0.5","0.3",".",".",".",".",".",".",".",".","."
"","104
001","170","2.941","19.4","20.6","17.1","18.2","22.9","1.8",".",".",".",".",".",".",".",".",".","."
"","104
002","158","2.870","15.8","19.0","20.3","18.4","24.7","1.3","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","328","2.907","17.7","19.8","18.6","18.3","23.8","1.5","0.3",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","52","2.904","11.5","17.3","40.4","17.3","9.6",".","3.8",".",".",".",".",".",".",".",".","."
"","109
001","125","3.306","23.2","34.4","32.8","4.0","2.4","1.6","0.8",".",".",".",".",".",".",".",".","0.8"
"","109
002","116","3.220","22.4","33.6","26.7","10.3","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","241","3.265","22.8","34.0","29.9","7.1","2.9","1.7","1.2",".",".",".",".",".",".",".",".","0.4"
"Energy","115
001","73","2.856","11.0","15.1","34.2","24.7","11.0","2.7","1.4",".",".",".",".",".",".",".",".","."
"General Physics","201
001","223","2.939","22.0","18.8","16.6","18.4","20.6","3.1","0.4",".",".",".",".",".",".",".",".","."
"","202
001","184","2.916","13.6","20.1","25.0","22.8","16.8","1.1","0.5",".",".",".",".",".",".",".",".","."
"","202
002","163","2.963","14.1","22.7","26.4","17.8","17.8","1.2",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","347","2.938","13.8","21.3","25.6","20.5","17.3","1.2","0.3",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","36","3.000","22.2","33.3","8.3","5.6","25.0","5.6",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","236","3.094","18.6","22.5","32.2","14.0","10.2","1.7",".","0.4",".",".",".",".","0.4",".",".","."
"General Physics","208
001","139","3.137","20.9","28.1","23.7","16.5","8.6","2.2",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","8","3.214","50.0","12.5",".",".","12.5","12.5",".","12.5",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","33","2.939","21.2","18.2","15.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","44","3.432","40.9","11.4","40.9","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","38","3.197","34.2","18.4","28.9","5.3","7.9","2.6","2.6",".",".",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
087","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","307
003","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","307
004","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
307","11","3.300","9.1","54.5","9.1","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","53","3.635","64.2","22.6","3.8","3.8",".",".","3.8",".",".",".",".",".","1.9",".",".","."
"Mechanics","311
001","47","3.122","21.3","29.8","25.5","6.4","6.4","4.3","2.1","4.3",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","30","3.267","30.0","20.0","33.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","39","3.368","33.3","23.1","35.9","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","25","3.200","16.0","24.0","44.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","38","3.189","39.5","18.4","10.5","18.4","2.6","5.3","2.6",".",".",".",".",".",".","2.6",".","."
"Directed Study","498
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introduction to Plasmas","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
