"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
001","104","3.106","14.4","31.7","29.8","10.6","12.5","1.0",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","317","3.486","42.3","26.8","23.7","2.8","2.2","0.9","0.6",".",".",".",".",".","0.6",".",".","."
"Mass Communication Practices","202
001","115","3.183","13.9","22.6","54.8","5.2","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"","335
001","15","3.400","40.0","13.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
335","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","16","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","62","3.540","40.3","33.9","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","102","3.961","93.1","5.9","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","14","3.500","28.6","50.0","7.1",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Creative Nonfiction","405
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
445","19","3.778","78.9","5.3",".","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Develop Creatv Messages-Media","Course Total","35","3.809","74.3","17.1",".","2.9","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"","447
001","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","30","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Stratgy-Strategc Campaign","449
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475
013","13","3.771","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","46","2.977","26.1","8.7","32.6","8.7","13.0","4.3","2.2","2.2","2.2",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","44","2.786","11.4","15.9","25.0","15.9","22.7","4.5",".",".",".",".",".",".","4.5",".",".","."
"Effects-Mass Communication","565
001","104","3.587","38.5","43.3","13.5","3.8",".",".",".","1.0",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","24","3.522","33.3","37.5","20.8","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"Mass Comm & Political Behav","618
001","22","3.875","72.7","13.6","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","620
001","19","3.500","42.1","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","620
002","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","Course Total","41","3.646","48.8","39.0","7.3","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","73","3.694","57.5","24.7","13.7","2.7",".",".",".","1.4",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","30","3.552","40.0","26.7","30.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","676
030","56","3.944","98.2",".",".",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"","676
035","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","68","3.966","98.5",".",".",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"","681
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 240 of 410",""
