"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","247","2.689","20.2","8.5","26.3","9.7","19.8","14.2","0.8",".",".",".",".",".","0.4",".",".","."
"","102
001","34","3.721","58.8","32.4","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.776","71.1","13.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","34","3.662","41.2","52.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","41","3.500","36.6","31.7","26.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","147","3.660","51.7","32.0","13.6","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.909","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","273","2.803","13.2","13.6","28.9","14.7","26.7","2.2","0.4",".",".",".",".",".",".",".","0.4","."
"","304
001","39","3.103","23.1","10.3","43.6","10.3","12.8",".",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.282","23.1","20.5","48.7","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","003
304","39","2.949","7.7","10.3","61.5","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","304
004","39","3.128","20.5","10.3","48.7","15.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","156","3.115","18.6","12.8","50.6","10.3","7.1","0.6",".",".",".",".",".",".",".",".",".","."
"","305
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","15","3.433","26.7","33.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","10","3.400","10.0","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","25","3.420","20.0","48.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","53","3.142","20.8","22.6","34.0","9.4","13.2",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","54","3.123","31.5","16.7","20.4","18.5","7.4",".","3.7",".",".",".",".",".","1.9",".",".","."
"Soil Microbiology & Biochem","523
001","12","3.250","8.3","33.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","57","3.096","33.3","12.3","12.3","28.1","12.3","1.8",".",".",".",".",".",".",".",".",".","."
"","527
001","22","3.227","22.7","36.4","22.7",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","527
002","20","3.316","40.0","20.0","15.0",".","20.0",".",".",".",".",".",".",".","5.0",".",".","."
"","527
003","20","3.350","35.0","20.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","62","3.295","32.3","25.8","22.6","3.2","14.5",".",".",".",".",".",".",".","1.6",".",".","."
"Immunology","528
001","48","3.479","54.2","8.3","29.2",".","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","22","3.667","54.5","18.2","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","20","3.263","35.0","10.0","35.0",".","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","7","3.222","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Physiology","625
001","23","3.087","26.1","30.4","17.4","4.3","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","34","3.309","20.6","29.4","41.2","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"","681
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
