"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2412","3.531","37.9","15.5","12.3","2.3","1.2","",".","",".","29.0","",".",".",".","0.5","0.1",".","1.2","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.829","81.8","9.1","4.5","4.5",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","11","3.600","54.5","27.3","18.2",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","30","3.771","73.3","16.7","6.7",".","3.3","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","36","3.779","77.8","11.1","2.8",".","5.6","",".","",".",".","",".",".",".",".","2.8",".",".","."
"Undergraduates","","99","3.766","74.7","14.1","6.1","1.0","3.0","",".","",".",".","",".",".",".",".","1.0",".",".","."
"Special","","8","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Graduate","","110","3.969","49.1","0.9","0.9",".",".","",".","",".","38.2","",".",".",".","9.1",".",".","1.8","."
"Prof Yr 1","","421","3.506","48.9","22.1","20.4","5.0","1.7","",".","",".","1.9","",".",".",".",".",".",".",".","."
"Prof Yr 2","","605","3.587","50.4","28.4","14.2","3.0","1.2","",".","",".","2.6","",".",".",".","0.2",".",".",".","."
"Prof Yr 3","","535","3.267","11.2","17.8","22.1","2.8","2.2","",".","",".","43.7","",".",".",".",".","0.2",".",".","."
"Prof Yr 4","","701","4.000","30.5",".",".",".",".","",".","",".","65.5","",".",".",".",".","0.1",".","3.9","."
"Professionals","","2262","3.507","34.7","15.9","12.8","2.4","1.1","",".","",".","31.7","",".",".",".","0.0","0.1",".","1.2","."
"","College Total","2479","3.531","36.8","15.1","12.0","2.2","1.2","",".","",".","30.9","",".",".",".","0.4","0.1",".","1.2","."
