"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","47","3.745","53.2","42.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","101","3.787","72.3","17.8","6.9","1.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","42","3.202","16.7","23.8","47.6","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"","300","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","60","3.958","95.0","3.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Physiology of Exercise","314","001","63","3.419","28.6","34.9","28.6","3.2","3.2",".",".",".",".",".",".",".",".",".","1.6","."
"Adapted Physical Activity","316","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","40","3.338","40.0","15.0","32.5","7.5","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"","323","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","44","3.966","93.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","40","3.575","37.5","40.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","60","3.508","41.7","28.3","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies II","358","001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","59","3.364","45.8","20.3","15.3","8.5","6.8","1.7","1.7",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","042","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Field-Athletic Training","450","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","508","028","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","","Course Total","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","25","3.688","44.0","44.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
