"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","32","4.000","87.5",".",".",".","",".","",".","",".","",".","",".",".","",".","9.4","3.1",".",".","."
"Prof Yr 2","","2","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","49","3.276","12.2","32.7","53.1","2.0","",".","",".","",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","20","3.687","60.0","20.0","15.0",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".","5.0"
"Professionals","","71","3.355","25.4","28.2","43.7","1.4","",".","",".","",".","",".","",".",".","",".",".",".",".",".","1.4"
