"L&S","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","",""
"Late Antiquity (200-900 C.E.)","112
001","","16","3.250","25.0","25.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309
001","","6","3.400","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Old English","320
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medieval Literature","753
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","Dept. Total","","37","3.357","29.7","29.7","21.6","8.1","5.4",".",".","2.7",".",".",".",".",".","2.7",".","."
