"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"201","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","15","3.367","33.3","20.0","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","","24","3.521","45.8","20.8","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"250","001","","17","2.912","17.6","23.5","29.4","5.9","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"250","002","","15","3.033","26.7","13.3","33.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"250","003","","17","3.324","35.3","17.6","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"250","004","","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"250","005","","20","2.975","20.0","15.0","35.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"250","006","","12","3.273","25.0","25.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","","96","3.111","25.0","17.7","34.4","8.3","10.4","1.0","2.1","1.0",".",".",".",".",".",".",".","."
"261
Prin Land Arc Dsgn&Graphics","001","","19","3.694","52.6","26.3","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"263
Landscape Plants I","001","","14","2.214",".","7.1","35.7","7.1","28.6","14.3","7.1",".",".",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
"309
Disease-Landscp Trees&Shrub","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Landscape Arch Tech II","001","","22","3.286","45.5","18.2","9.1","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","4.5"
"365
Planting Design I","001","","20","3.450","35.0","25.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"462
Regional Design","001","","20","3.737","45.0","50.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"550
Professionl Pract-Land Arch","001","","20","3.450","25.0","40.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Seminar-Landscape Arch","001","","21","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"666
Restoration Ecology","001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems-Land Arch","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Theories-Landscape Change","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Regional Design Workshop","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Graduate Seminar","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
