"E ASIAN LANGUAGES & LITERA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","",""
"403
001
Seventh Semester Japanese","23","3.455","39.1","26.1","17.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"405
001
Seventh Semester Korean","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
001
Japanese for Bus & Industry","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431
001
Intro to Chinese Linguistics","29","3.696","51.7","34.5","6.9","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"433
001
Topics-E Asian Visual Cultures","3","***","","","","","","","","","",".",".",".",".",".",".","."
"573
001
Rdgs-Classical Japanese Lit","5","***","","","","","","","","","",".",".",".",".",".",".","."
"631
001
History of Chinese Language","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
001
History-Chinese Literature","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
001
Stdys-Japanese Linguistics","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
035
Reading for Research","1","***","","","","","","","","","",".",".",".",".",".",".","."
"833
001
Topics-E Asian Visual Cultures","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951
001
Smr-Chinese Literature","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
001
Seminar in Chinese Thought","9","4.000","22.2",".",".",".",".",".",".",".",".",".",".",".","77.8",".",".","."
"990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990
035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Thesis Research","13","",".",".",".",".",".",".",".","76.9",".",".",".","15.4",".","7.7",".","."
"999
035
Independent Research","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
Dept. Total
295","982","3.581","50.3","24.3","11.9","5.1","2.5","0.5","0.5","2.0",".","0.2",".","0.2","1.9","0.2",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","",""
"Freshmen","121","3.566","53.7","20.7","14.0","5.8","2.5",".","1.7","0.8",".",".",".",".","0.8",".",".","."
"Sophomore","202","3.663","55.9","26.2","12.4","4.0",".",".","0.5",".",".","0.5",".",".",".","0.5",".","."
"Junior","218","3.516","50.5","24.3","11.5","4.6","5.5","1.4","0.5","0.9",".",".",".",".",".",".",".","0.9"
"Senior","323","3.541","46.1","26.6","14.2","6.5","2.5","0.6","0.3","0.9",".","0.3",".",".","1.9",".",".","."
"Undergraduates","864","3.571","50.6","25.1","13.1","5.3","2.7","0.6","0.6","0.7",".","0.2",".",".","0.8","0.1",".","0.2"
"Special","18","3.327","27.8","44.4",".","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"Graduate","98","3.808","52.0","14.3","4.1",".","1.0",".",".","13.3",".",".",".","2.0","12.2","1.0",".","."
"Prof Yr 2","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Professionals","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Dept. Total","982","3.581","50.3","24.3","11.9","5.1","2.5","0.5","0.5","2.0",".","0.2",".","0.2","1.9","0.2",".","0.2"
