"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","183","3.172","15.8","35.0","28.4","14.8","4.4","0.5","1.1",".",".",".",".",".",".",".",".","."
"","120","001","86","2.895","18.6","17.4","24.4","10.5","25.6","3.5",".",".",".",".",".",".",".",".",".","."
"","120","002","113","2.969","18.6","21.2","18.6","22.1","15.9","2.7",".",".",".",".",".",".",".","0.9",".","."
"Global Phys Environments","","Course Total","199","2.937","18.6","19.6","21.1","17.1","20.1","3.0",".",".",".",".",".",".",".","0.5",".","."
"Physical Systems of Envr","127","001","35","2.857","8.6","11.4","42.9","22.9","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","002","50","3.143","12.0","30.0","32.0","22.0","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"World Regions:Concept&Probs","140","001","53","3.462","39.6","43.4","7.5","1.9",".","1.9","3.8","1.9",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","35","3.486","45.7","34.3","8.6",".","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","54","2.934","16.7","11.1","42.6","9.3","14.8","1.9","1.9",".","1.9",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.333","28.6","14.3","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".","."
"Introduction to the City","305","001","60","3.408","23.3","51.7","16.7","6.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","32","3.194","34.4","9.4","34.4","9.4","6.3",".","3.1","3.1",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","20","3.350","25.0","30.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Vegetation:Stability&Change","338","001","29","3.397","37.9","20.7","27.6","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","339","001","47","2.936","17.0","21.3","27.7","17.0","12.8",".","4.3",".",".",".",".",".",".",".",".","."
"","339","002","60","2.686","15.0","6.7","28.3","15.0","26.7","5.0","1.7","1.7",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","107","2.797","15.9","13.1","28.0","15.9","20.6","2.8","2.8","0.9",".",".",".",".",".",".",".","."
"Europe","349","001","190","3.264","36.8","17.4","21.6","10.0","5.3","4.2","0.5","1.6","0.5",".",".",".","2.1",".",".","."
"Introduction to Cartography","370","001","31","3.067","19.4","16.1","38.7","16.1",".","6.5",".",".",".",".",".",".",".",".",".","3.2"
"Intro to Geog Info Systems","377","001","44","3.220","43.2","13.6","13.6","4.5","11.4","4.5","2.3","2.3",".",".",".",".","2.3",".",".","2.3"
"Space&Place-A Geog Expernce","501","001","24","3.848","75.0","12.5","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Hist Geog-European Urbanztn","506","001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","27","3.327","33.3","22.2","18.5","18.5","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"Adv Quantitative Methods","560","001","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","48","3.656","39.6","52.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","29","3.308","20.7","20.7","44.8",".","3.4",".",".","6.9",".",".",".",".","3.4",".",".","."
"","602","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","71.4",".",".",".",".",".","."
"Special Topics in Geography","675","002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","001","14","3.909","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 215 of 410",""
