"BUS","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","35","3.929","91.4","2.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","58","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","54","3.935","88.9","9.3","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","","52","3.192","32.7","19.2","21.2","15.4","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","650
001","","58","3.198","31.0","24.1","19.0","15.5","5.2","5.2",".",".",".",".",".",".",".",".",".","."
"","650
002","","38","3.171","26.3","26.3","23.7","13.2","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","96","3.188","29.2","25.0","20.8","14.6","5.2","5.2",".",".",".",".",".",".",".",".",".","."
"","652
001","","38","3.365","31.6","18.4","36.8","10.5",".",".",".","2.6",".",".",".",".",".",".",".","."
"","652
002","","39","3.378","23.1","28.2","41.0","2.6",".",".",".",".",".",".",".",".","5.1",".",".","."
"Loss Models I","Course Total","","77","3.372","27.3","23.4","39.0","6.5",".",".",".","1.3",".",".",".",".","2.6",".",".","."
"Regressn&Time Series-Actuaries","654
001","","16","3.281","31.3","18.8","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","353","3.346","49.0","17.6","19.3","8.8","2.5","2.0",".","0.3",".",".",".",".","0.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","2.400",".",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","68","3.445","70.6","8.8","8.8","7.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","131","3.354","55.0","16.0","17.6","6.1","1.5","3.8",".",".",".",".",".",".",".",".",".","."
"Senior","","","131","3.304","33.6","21.4","27.5","12.2","1.5","1.5",".","0.8",".",".",".",".","1.5",".",".","."
"Undergraduates","","","333","3.339","49.2","16.5","20.1","8.7","2.4","2.1",".","0.3",".",".",".",".","0.6",".",".","."
"Special","","","18","3.375","38.9","38.9","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","353","3.346","49.0","17.6","19.3","8.8","2.5","2.0",".","0.3",".",".",".",".","0.6",".",".","."
