"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Late Antiquity (200-900 C.E.)","112","001","","13","3.346","23.1","61.5",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Judaism","211","002","","23","3.523","56.5","17.4","13.0","4.3",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","65","3.195","35.4","18.5","21.5","10.8","6.2","4.6","1.5","1.5",".",".",".",".",".",".",".","."
"Religion-Hist&Cult:The West","271","001","","55","3.221","10.9","36.4","32.7","12.7","1.8",".",".",".",".",".",".",".","1.8",".","3.6","."
"Religion-Hist&Culture: East","273","001","","84","3.214","20.2","29.8","35.7","8.3","3.6","1.2","1.2",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","9","3.125","11.1","22.2","33.3","22.2",".",".",".",".",".",".",".",".",".","11.1",".","."
"Christian Lit:Matthew-Revelatn","333","001","","52","3.110","19.2","30.8","17.3","13.5","13.5","1.9",".","3.8",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","37","2.979","5.4","24.3","45.9","16.2","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Shamanism","352","001","","38","3.222","15.8","34.2","31.6","2.6","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"Hinduism","355","001","","74","3.432","25.7","50.0","18.9","1.4","2.7",".","1.4",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","62","3.500","37.1","40.3","14.5","4.8","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","","21","3.286","23.8","33.3","28.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","400","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","15","3.700","73.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","","6","3.600","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
