"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1903","3.341","35.2","25.6","19.9","8.0","4.8","1.5","1.1","1.7","",".",".","",".","0.5","1.4","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","291","3.315","31.6","29.2","24.7","8.2","3.8","2.1","0.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","353","3.334","34.6","26.9","21.2","9.6","4.8","1.7","0.6","0.3","",".",".","",".",".","0.3",".",".","."
"Junior","","504","3.273","31.5","28.4","21.0","8.3","6.3","2.0","1.6",".","",".",".","",".",".","0.6",".","0.2","."
"Senior","","636","3.376","39.2","24.4","19.2","8.0","4.6","0.9","1.4","0.3","",".",".","",".","0.3","1.3","0.2",".","0.3"
"Undergraduates","","1784","3.328","34.9","26.8","21.0","8.5","5.0","1.6","1.1","0.2","",".",".","",".","0.1","0.7","0.1","0.1","0.1"
"Special","","26","3.642","34.6","19.2","7.7",".","3.8",".",".","19.2","",".",".","",".",".",".","3.8","11.5","."
"Graduate","","90","3.859","41.1","3.3","1.1","1.1","1.1",".",".","26.7","",".",".","",".","8.9","16.7",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.800","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1903","3.341","35.2","25.6","19.9","8.0","4.8","1.5","1.1","1.7","",".",".","",".","0.5","1.4","0.1","0.2","0.1"
