"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","25","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","25","3.760","64.0","32.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","300
010","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","24","3.646","33.3","62.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","23","3.739","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","289","3.806","63.3","35.3","1.0",".","0.3",".",".",".",".",".",".",".",".",".",".","."
"","301
001","206","2.947","14.1","12.1","45.6","8.3","18.4","1.5",".",".",".",".",".",".",".",".",".","."
"","301
002","132","3.083","15.2","15.2","53.8","3.0","12.9",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","338","3.000","14.5","13.3","48.8","6.2","16.3","0.9",".",".",".",".",".",".",".",".",".","."
"","302
001","47","3.564","55.3","21.3","8.5","10.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
302","29","3.379","34.5","17.2","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","76","3.493","47.4","19.7","19.7","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","112","3.045","18.8","13.4","47.3","2.7","16.1","1.8",".",".",".",".",".",".",".",".",".","."
"","010
303","78","2.955","19.2","3.8","47.4","10.3","17.9","1.3",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","190","3.008","18.9","9.5","47.4","5.8","16.8","1.6",".",".",".",".",".",".",".",".",".","."
"","304
001","76","3.336","22.4","25.0","50.0","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","89","3.348","22.5","30.3","41.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","165","3.342","22.4","27.9","45.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","001
310","125","2.908","20.0","4.8","36.8","8.8","16.0","4.0","0.8","7.2","0.8",".",".",".",".",".","0.8","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","52","3.200","40.4","13.5","25.0","1.9","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"","365
003","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","87","3.645","56.3","12.6","18.4","1.1","4.6","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topcs on Sustainable Bus Pract","600
001","27","3.654","51.9","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"","704
001","56","3.464","23.2","50.0","25.0",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","704
002","54","3.556","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","110","3.509","30.9","41.8","26.4",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","47","3.532","27.7","51.1","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","38","3.605","28.9","63.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","91","3.579","31.9","52.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
