"L&S","","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","2292","3.144","30.5","17.1","25.3","7.1","14.0","2.0","1.1","1.6","",".",".","",".","0.7","0.3","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","574","3.087","26.5","17.4","29.8","4.7","19.0","1.0","1.0",".","",".",".","",".",".","0.5",".",".","."
"Sophomore","","659","3.109","26.9","17.9","30.2","8.0","13.8","2.0","1.1",".","",".",".","",".",".",".",".","0.2","."
"Junior","","442","3.053","27.8","18.6","24.7","8.6","14.7","3.6","1.8",".","",".",".","",".",".",".","0.2",".","."
"Senior","","462","3.223","39.0","15.2","19.7","8.9","12.1","2.4","0.9","0.4","",".",".","",".","0.6","0.6","0.2",".","."
"Undergraduates","","2137","3.116","29.6","17.3","26.7","7.4","15.0","2.2","1.2","0.1","",".",".","",".","0.1","0.3","0.1","0.0","."
"Special","","17","3.275","11.8","17.6",".","5.9","5.9",".",".","58.8","",".",".","",".",".",".",".",".","."
"Graduate","","131","3.778","47.3","13.7","5.3","2.3",".",".",".","19.1","",".",".","",".","9.9",".",".","2.3","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","5","3.600","40.0","40.0","20.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","7","3.571","42.9","28.6","28.6",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2292","3.144","30.5","17.1","25.3","7.1","14.0","2.0","1.1","1.6","",".",".","",".","0.7","0.3","0.1","0.2","."
