"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"798","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"803
Adv Rsch Design & Methods I","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Advanced Pathophysiology","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Knowledge Developmt in Nursing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"816
Proseminar in Nursing Research","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Curric Develop-Nursing Educ","001","","13","3.625","46.2","30.8","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"906","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".",".","26.7",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"999","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","20","3.783","35.0",".","5.0",".","5.0",".",".","45.0",".",".",".",".","10.0",".",".","."
