"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Physical Chemistry Lab","Course Total","","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","96","3.057","37.5","5.2","25.0","12.5","13.5","4.2","2.1",".",".",".",".",".",".",".",".","."
"567","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"567","003","","9","3.167","33.3","33.3","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","","14","3.393","50.0","21.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"608
Symmtry/Bondng/Molec Shapes","001","","10","3.714","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"619
Microscopy of Life","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Instrumental Analysis","001","","14","3.673","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Organic Analysis","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Electrochemistry","001","","17","3.641","47.1","29.4","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"630
Topics-Analytical Chemistry","001","","26","3.618","38.5","38.5","19.2",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","27","3.327","25.9","11.1","59.3",".",".",".",".",".",".",".",".",".",".",".",".","3.7"
"661
Chem & Stat Thermodynamics","001","","18","3.194","16.7","16.7","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Intro Quantum Chemistry","001","","24","3.326","20.8","20.8","54.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","90.0",".",".","10.0","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 175 of 410",""
